NB_ARC_VL;ID_GAV;NB_PL_MT;LARGEUR;GLOBALID;TYPE_MOBIL;PROFIL;LONGUEUR;ETAT_;CODE_INSEE;NB_PL_VL;NB_PLACE;NB_ARC_MT;geometry
0;;4;2.0;{950D89A4-5007-46D8-904E-63D5CE07B6A9};3;1;4.0;En vigueur;06088;0;4;1;{"type": "Point", "coordinates": [7.28794495, 43.70308989]}
0;;2;2.0;{B663BDA9-1035-437C-BC9C-E5E7E723056F};3;1;3.0;En vigueur;06088;0;2;3;{"type": "Point", "coordinates": [7.28921188, 43.70531697]}
6;;13;2.0;{1C3342EE-6C93-4698-A23D-9DE88405EF4C};3;0;20.0;En vigueur;06088;12;25;6;{"type": "Point", "coordinates": [7.27910393, 43.70134939]}
0;;9;2.0;{6A9732D0-2B73-4077-82E2-5E463EF81853};1;1;8.0;En vigueur;06088;0;15;4;{"type": "Point", "coordinates": [7.28744825, 43.70673161]}
8;;0;0.0;{5CDF71DD-8C3D-44C0-8149-54D08ADC303B};5;2;0.0;En vigueur;06088;16;16;0;{"type": "Point", "coordinates": [7.27187791, 43.72553919]}
0;;5;2.0;{25827D35-391A-455E-9330-CF865418BC87};5;1;5.0;En vigueur;06088;0;3;2;{"type": "Point", "coordinates": [7.27638081, 43.72998925]}
0;;3;2.0;{67DCF7B1-3BD4-41A1-A490-0B793411773D};5;1;3.0;En vigueur;06088;0;3;2;{"type": "Point", "coordinates": [7.25144386, 43.69717145]}
0;;6;2.0;{6EA0722D-23D3-4581-A648-A356EDCF7007};5;1;7.0;En vigueur;06088;0;6;6;{"type": "Point", "coordinates": [7.24218479, 43.69607601]}
4;;0;2.0;{1B894DF1-651C-4D08-8860-0DE0C415CC7E};5;2;4.0;En vigueur;06088;10;10;0;{"type": "Point", "coordinates": [7.24834608, 43.70016791]}
0;;4;2.0;{CE184519-A666-4A95-A16F-42B7DB59A9AF};5;1;5.0;En vigueur;06088;0;0;1;{"type": "Point", "coordinates": [7.25468555, 43.71778825]}
3;;12;2.0;{EB343F82-9AA9-4CA5-B966-10A6C5DC8244};5;0;12.0;En vigueur;06088;6;18;6;{"type": "Point", "coordinates": [7.25943443, 43.71376646]}
0;;4;2.0;{351D6656-91BE-4A9C-A516-B40892803A37};5;1;3.0;En vigueur;06088;0;4;1;{"type": "Point", "coordinates": [7.26103761, 43.71390715]}
4;;0;2.0;{0B6A4EDC-BAB7-4D67-B660-329F4A5D5E50};5;0;10.0;En vigueur;06088;7;7;6;{"type": "Point", "coordinates": [7.25188827, 43.7079862]}
4;;6;2.0;{78E373D7-D8CD-4817-9344-AD68B90CB6E8};5;0;10.0;En vigueur;06088;8;14;6;{"type": "Point", "coordinates": [7.26219299, 43.7113457]}
0;;6;2.0;{35B57A13-7925-4CAD-BC6E-E7F4B0FC7991};5;1;5.0;En vigueur;06088;0;6;5;{"type": "Point", "coordinates": [7.26538024, 43.70426953]}
0;;4;2.0;{C410E6EF-32F6-4F03-B04F-52673F9C9F87};5;1;4.0;En vigueur;06088;0;4;1;{"type": "Point", "coordinates": [7.2865477, 43.71154459]}
3;;7;2.0;{86747285-08FD-4E25-AC98-11607B682A1C};1;0;10.0;En vigueur;06088;6;10;7;{"type": "Point", "coordinates": [7.2882384, 43.70053498]}
0;;0;2.0;{57C5C996-B6E1-4A4C-B73B-8AA78F6D8DE3};5;0;28.0;En vigueur;06088;0;0;25;{"type": "Point", "coordinates": [7.28935278, 43.70899668]}
0;;5;2.0;{7E1E631A-740B-4EA1-A631-CB1D9F5A757A};0;1;5.0;Non positionné(e);06088;0;5;4;{"type": "Point", "coordinates": [7.30780699, 43.73961537]}
0;;4;2.0;{A22B8411-FF73-4947-98BC-272065EFE9CC};5;1;4.0;En vigueur;06088;0;4;1;{"type": "Point", "coordinates": [7.28451539, 43.72363967]}
0;;4;2.0;{41147540-D6F4-40DC-A74A-00DB7CD8F2D9};5;1;4.0;En vigueur;06088;0;4;1;{"type": "Point", "coordinates": [7.25502828, 43.69530364]}
0;;5;2.0;{138F353C-2B49-4AB4-A627-D1EE9FC32381};5;1;5.0;En vigueur;06088;0;5;4;{"type": "Point", "coordinates": [7.20877232, 43.68035436]}
